Route,Year,Transit,Incident_Category,Delay_Count,Total_Delay_Min,active_in_2025,route_long_name,rank
756,2014,Bus,Operations,5,5.0,False,Unknown,1
756,2014,Bus,Scheduling,1,1.0,False,Unknown,1
756,2015,Bus,Operations,15,15.0,False,Unknown,1
756,2016,Bus,Mechanical,2,5.0,False,Unknown,1
756,2016,Bus,Operations,32,49.0,False,Unknown,1
756,2016,Bus,Passenger,3,3.0,False,Unknown,1
756,2016,Bus,Scheduling,1,1.0,False,Unknown,1
756,2017,Bus,Mechanical,1,1.0,False,Unknown,1
756,2017,Bus,Operations,4,4.0,False,Unknown,1
756,2018,Bus,Mechanical,1,1.0,False,Unknown,1
756,2018,Bus,Operations,8,8.0,False,Unknown,1
756,2018,Bus,Passenger,1,1.0,False,Unknown,1
757,2014,Bus,Mechanical,1,1.0,False,Unknown,1
757,2014,Bus,Operations,9,9.0,False,Unknown,1
757,2015,Bus,Operations,12,21.0,False,Unknown,1
757,2016,Bus,Mechanical,1,1.0,False,Unknown,1
757,2016,Bus,Operations,3,3.0,False,Unknown,1
757,2017,Bus,Mechanical,3,6.0,False,Unknown,1
757,2017,Bus,Operations,406,749.0,False,Unknown,1
757,2017,Bus,Passenger,2,2.0,False,Unknown,1
757,2017,Bus,Scheduling,1,1.0,False,Unknown,1
757,2019,Bus,Passenger,1,1.0,False,Unknown,1
759,2014,Bus,Operations,4,4.0,False,Unknown,1
759,2014,Bus,Passenger,1,8.0,False,Unknown,1
759,2015,Bus,Passenger,1,6.0,False,Unknown,1
759,2016,Bus,Mechanical,1,7.0,False,Unknown,1
759,2016,Bus,Operations,19,45.0,False,Unknown,1
759,2016,Bus,Passenger,1,1.0,False,Unknown,1
759,2017,Bus,Mechanical,46,63.0,False,Unknown,1
759,2017,Bus,Operations,132,144.0,False,Unknown,1
759,2017,Bus,Passenger,16,24.0,False,Unknown,1
759,2017,Bus,Scheduling,15,15.0,False,Unknown,1
759,2018,Bus,Mechanical,3,3.0,False,Unknown,1
759,2018,Bus,Operations,53,53.0,False,Unknown,1
759,2018,Bus,Passenger,4,10.0,False,Unknown,1
76A,2014,Bus,General,31,552.0,True,Royal York South,1
76B,2014,Bus,General,31,552.0,True,Royal York South,2
76C,2014,Bus,General,31,552.0,True,Royal York South,3
76S,2014,Bus,General,31,552.0,True,Royal York South,4
76A,2014,Bus,Mechanical,242,2119.0,True,Royal York South,1
76B,2014,Bus,Mechanical,242,2119.0,True,Royal York South,2
76C,2014,Bus,Mechanical,242,2119.0,True,Royal York South,3
76S,2014,Bus,Mechanical,242,2119.0,True,Royal York South,4
76A,2014,Bus,Operations,140,2241.0,True,Royal York South,1
76B,2014,Bus,Operations,140,2241.0,True,Royal York South,2
76C,2014,Bus,Operations,140,2241.0,True,Royal York South,3
76S,2014,Bus,Operations,140,2241.0,True,Royal York South,4
76A,2014,Bus,Passenger,42,394.0,True,Royal York South,1
76B,2014,Bus,Passenger,42,394.0,True,Royal York South,2
76C,2014,Bus,Passenger,42,394.0,True,Royal York South,3
76S,2014,Bus,Passenger,42,394.0,True,Royal York South,4
76A,2014,Bus,Scheduling,38,336.0,True,Royal York South,1
76B,2014,Bus,Scheduling,38,336.0,True,Royal York South,2
76C,2014,Bus,Scheduling,38,336.0,True,Royal York South,3
76S,2014,Bus,Scheduling,38,336.0,True,Royal York South,4
76A,2015,Bus,General,33,395.0,True,Royal York South,1
76B,2015,Bus,General,33,395.0,True,Royal York South,2
76C,2015,Bus,General,33,395.0,True,Royal York South,3
76S,2015,Bus,General,33,395.0,True,Royal York South,4
76A,2015,Bus,Mechanical,145,1129.0,True,Royal York South,1
76B,2015,Bus,Mechanical,145,1129.0,True,Royal York South,2
76C,2015,Bus,Mechanical,145,1129.0,True,Royal York South,3
76S,2015,Bus,Mechanical,145,1129.0,True,Royal York South,4
76A,2015,Bus,Operations,175,2339.0,True,Royal York South,1
76B,2015,Bus,Operations,175,2339.0,True,Royal York South,2
76C,2015,Bus,Operations,175,2339.0,True,Royal York South,3
76S,2015,Bus,Operations,175,2339.0,True,Royal York South,4
76A,2015,Bus,Passenger,43,477.0,True,Royal York South,1
76B,2015,Bus,Passenger,43,477.0,True,Royal York South,2
76C,2015,Bus,Passenger,43,477.0,True,Royal York South,3
76S,2015,Bus,Passenger,43,477.0,True,Royal York South,4
76A,2015,Bus,Scheduling,45,363.0,True,Royal York South,1
76B,2015,Bus,Scheduling,45,363.0,True,Royal York South,2
76C,2015,Bus,Scheduling,45,363.0,True,Royal York South,3
76S,2015,Bus,Scheduling,45,363.0,True,Royal York South,4
76A,2016,Bus,General,45,696.0,True,Royal York South,1
76B,2016,Bus,General,45,696.0,True,Royal York South,2
76C,2016,Bus,General,45,696.0,True,Royal York South,3
76S,2016,Bus,General,45,696.0,True,Royal York South,4
76A,2016,Bus,Mechanical,99,827.0,True,Royal York South,1
76B,2016,Bus,Mechanical,99,827.0,True,Royal York South,2
76C,2016,Bus,Mechanical,99,827.0,True,Royal York South,3
76S,2016,Bus,Mechanical,99,827.0,True,Royal York South,4
76A,2016,Bus,Operations,242,2833.0,True,Royal York South,1
76B,2016,Bus,Operations,242,2833.0,True,Royal York South,2
76C,2016,Bus,Operations,242,2833.0,True,Royal York South,3
76S,2016,Bus,Operations,242,2833.0,True,Royal York South,4
76A,2016,Bus,Passenger,45,413.0,True,Royal York South,1
76B,2016,Bus,Passenger,45,413.0,True,Royal York South,2
76C,2016,Bus,Passenger,45,413.0,True,Royal York South,3
76S,2016,Bus,Passenger,45,413.0,True,Royal York South,4
