trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
64762020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
99792070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
6515070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
99811020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10013131,shp-100-02,1
69560010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
87650010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
65453010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
88001020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
65918020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
88703070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1008870,shp-100-02,1
81210070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
88735020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
80303070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
89773020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10015152,shp-100-02,1
80471020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
89791010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
80500070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
89883070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
81007010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
89944020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
78704070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
99345070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
